state_name,report_date,Medicaid_Enrollment
Tennessee,10/01/2020,1552736
Texas,10/01/2020,4700884
Utah,10/01/2020,376569
Vermont,10/01/2020,167994
Virginia,10/01/2020,1586513
Washington,10/01/2020,1867149
West Virginia,10/01/2020,556565
Wisconsin,10/01/2020,1185943
Wyoming,10/01/2020,63624
United States,11/01/2020,79121167
Alabama,11/01/2020,993609
Alaska,11/01/2020,238873
Arizona,11/01/2020,1942802
Arkansas,11/01/2020,881003
California,11/01/2020,12359049
Colorado,11/01/2020,1431754
Connecticut,11/01/2020,917572
Delaware,11/01/2020,254552
District of Columbia,11/01/2020,259642
Florida,11/01/2020,4076951
Georgia,11/01/2020,2067533
Hawaii,11/01/2020,379981
Idaho,11/01/2020,373786
Illinois,11/01/2020,3178151
Indiana,11/01/2020,1568189
Iowa,11/01/2020,742012
Kansas,11/01/2020,425646
Kentucky,11/01/2020,1539025
Louisiana,11/01/2020,1680089
Maine,11/01/2020,310465
Maryland,11/01/2020,1443941
Massachusetts,11/01/2020,1717653
Michigan,11/01/2020,2612876
Minnesota,11/01/2020,1158186
Mississippi,11/01/2020,673981
Missouri,11/01/2020,1009377
Montana,11/01/2020,273896
Nebraska,11/01/2020,295765
Nevada,11/01/2020,742656
New Hampshire,11/01/2020,209795
New Jersey,11/01/2020,1898732
New Mexico,11/01/2020,809042
New York,11/01/2020,6608792
North Carolina,11/01/2020,1988795
North Dakota,11/01/2020,106012
Ohio,11/01/2020,2931222
Oklahoma,11/01/2020,854774
Oregon,11/01/2020,1128356
Pennsylvania,11/01/2020,3270683
Rhode Island,11/01/2020,321551
South Carolina,11/01/2020,1117794
South Dakota,11/01/2020,121622
Tennessee,11/01/2020,1564811
Texas,11/01/2020,4759763
Utah,11/01/2020,383743
Vermont,11/01/2020,169773
Virginia,11/01/2020,1612406
Washington,11/01/2020,1885921
West Virginia,11/01/2020,561772
Wisconsin,11/01/2020,1202957
Wyoming,11/01/2020,63836
United States,12/01/2020,79993248
Alabama,12/01/2020,1001444
